City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Samarai,PG,78.87,moderate rain,-10.62,150.67,Nuli Sapi
349,Tanete,ID,75.58,overcast clouds,-3.94,119.78,Wisma Tri Multi
358,Waddan,LY,81.54,clear sky,29.16,16.14,محل الشريف محمد العايب
360,Garden City,US,81.0,broken clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
362,Puerto Escondido,MX,86.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
368,Hirara,JP,82.4,light intensity shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
370,Ardakan,IR,80.6,clear sky,32.31,54.02,Ardakan Hotel
372,Kavieng,PG,83.39,scattered clouds,-2.57,150.8,Nusa Island Retreat
375,Banda Aceh,ID,79.68,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
376,Moro,PK,84.2,smoke,26.66,68.0,بسم الله هوٽل مسافر کانو
377,Salvador,SV,87.8,few clouds,13.83,-88.92,Chico's Ranch
379,Pipar,IN,85.73,broken clouds,26.39,73.54,मा अम्बे ज्वेलर्स
381,Hun,LY,82.35,clear sky,29.13,15.95,Alrwasi Hotel
382,Karwar,IN,77.65,light rain,14.8,74.13,Netalco Connects
383,Basco,PH,83.16,light rain,20.45,121.97,Nathaniel's Lodge
384,Mana,GF,79.92,light rain,5.66,-53.78,LE SAMANA
385,Hambantota,LK,78.8,overcast clouds,6.12,81.12,Bungalow 63
386,Puerto Colombia,CO,78.8,shower rain,10.99,-74.95,Hotel El Emigrante
388,Agrado,CO,77.85,light rain,2.26,-75.77,Edificio San Diego
391,Denpasar,ID,78.8,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
393,Bansang,GM,80.6,broken clouds,13.43,-14.65,Margie's Lodge
395,Santa Ana,US,89.01,clear sky,33.75,-117.87,Best Western Plus Orange County Airport North
398,Port Blair,IN,81.64,few clouds,11.67,92.75,Fortune Resort Bay Island
404,Meulaboh,ID,76.33,light rain,4.14,96.13,Kost Pria
405,Corinth,GR,75.99,clear sky,37.94,22.96,Ephira Hotel
410,Tabou,CI,75.58,overcast clouds,4.42,-7.35,hotêl doufoulougou
413,Bom Jesus Da Lapa,BR,79.61,clear sky,-13.26,-43.42,Hotel das Nações
417,Nicoya,CR,87.8,scattered clouds,10.15,-85.45,Guayacan Real
418,Praya,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
422,Asyut,EG,82.4,clear sky,27.18,31.18,Florence Hotel Assiut
424,Mount Pleasant,US,91.99,clear sky,32.79,-79.86,Best Western Patriots Point
426,Candolim,IN,78.98,light rain,15.52,73.76,Resort Terra Paraiso
429,Matay,EG,81.55,clear sky,28.42,30.78,Nag Aespen
430,Nagapattinam,IN,81.5,light rain,10.77,79.83,MGM Vailankanni
436,Dong Hoi,VN,80.04,overcast clouds,17.48,106.6,Nam Long Hotel
439,Road Town,VG,84.0,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
446,Rock Hill,US,90.0,few clouds,34.92,-81.03,DDCSVC
447,Roma,US,82.4,broken clouds,43.21,-75.46,Wingate By Wyndham Rome
448,Assiniboia,CA,88.32,clear sky,49.63,-105.98,Canalta Hotel Assiniboia
449,Moberly,US,77.0,overcast clouds,39.42,-92.44,Super 8 by Wyndham Moberly MO
450,Sanford,US,87.8,clear sky,28.8,-81.27,Best Western Plus Sanford Airport/Lake Mary Hotel
453,Vieques,PR,86.0,haze,18.43,-65.83,"The St. Regis Bahia Beach Resort, Puerto Rico"
457,Malindi,KE,75.25,scattered clouds,-3.22,40.12,African House Resort
462,Itoman,JP,82.4,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
469,Lebanon,US,91.0,scattered clouds,36.21,-86.29,Hampton Inn & Suites Lebanon
470,San Policarpo,PH,79.93,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
472,Westport,US,80.01,broken clouds,41.14,-73.36,The Westport Inn
474,Destin,US,82.4,scattered clouds,30.39,-86.5,Inn On Destin Harbor
476,Quepos,CR,77.0,scattered clouds,9.42,-84.17,Jungle Beach Hotel at Manuel Antonio
477,Steamboat Springs,US,75.2,clear sky,40.48,-106.83,Steamboat Grand
482,College Place,US,86.0,clear sky,46.05,-118.39,Holiday Inn Express Walla Walla
483,Hadishahr,AZ,75.2,few clouds,38.84,45.66,هتل آپارتمان آرامیس
488,Clinton,US,78.01,broken clouds,42.59,-82.92,River's Edge
491,Riyadh,SA,87.8,broken clouds,24.69,46.72,InterContinental Riyadh
492,Gat,IL,82.99,clear sky,31.61,34.76,רגע בנחת
494,Callaway,US,79.0,moderate rain,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
496,Linda,US,93.99,haze,39.13,-121.55,Comfort Suites Marysville-Yuba City
498,Cururupu,BR,76.87,clear sky,-1.83,-44.87,Pousada Través'cia
503,Indianola,US,79.0,scattered clouds,41.36,-93.56,Quality Inn Indianola
504,Filadelfia,US,82.0,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
509,Bogo,PH,79.16,light rain,11.05,124.01,Hisoler's Beach Resort
510,Sandakan,MY,75.2,few clouds,5.84,118.12,Hotel Sandakan
511,Bubaque,GW,78.28,light rain,11.28,-15.83,Casa Dora
515,Tajimi,JP,84.0,broken clouds,35.32,137.13,Hotel Tajimi Hills Riverside
520,Craig,US,84.2,clear sky,40.52,-107.55,Candlewood Suites Craig-Northwest
521,Bata,GQ,77.0,scattered clouds,1.86,9.77,Hotel Carmen
522,Buala,SB,83.25,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
524,Acarau,BR,79.11,clear sky,-2.89,-40.12,castelo pizzaria
533,Acapulco,MX,82.4,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
534,Mogadishu,SO,77.68,clear sky,2.04,45.34,Hotel Juba
536,Harper,LR,75.9,light rain,4.38,-7.72,Screensaver
537,Paragominas,BR,82.0,broken clouds,-2.97,-47.48,HOTEL RODA VIVA
542,Cam Ranh,VN,80.6,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
549,Robertsport,LR,76.28,moderate rain,6.75,-11.37,Kwepunha Retreat
550,Taitung,TW,80.31,broken clouds,22.76,121.14,Taitung Bali Suites Hotel
552,Itaituba,BR,82.4,few clouds,-4.28,-55.98,Hotel Campos
553,Surt,LY,79.27,clear sky,31.21,16.59,City Hotel
556,Saint-Georges,GD,82.4,scattered clouds,12.06,-61.75,Siesta Hotel
560,Locri,IT,79.0,few clouds,38.24,16.26,Grand Hotel President
564,Wewak,PG,76.19,few clouds,-3.55,143.63,In Wewak Boutique Hotel
565,Siena,IT,78.01,few clouds,43.22,11.4,More Di Cuna
566,Boa Vista,BR,87.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
568,Kralendijk,BQ,87.8,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
570,Ducos,MQ,84.2,overcast clouds,14.58,-60.97,Au Coeur De Madinina
571,Marsa Matruh,EG,78.8,clear sky,31.35,27.25,Beau Site
574,Bandarbeyla,SO,77.09,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
576,Maua,BR,82.4,clear sky,-23.67,-46.46,Hotel Capriccio Mauá
577,Kutum,SD,75.54,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
