City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Geraldton,AU,2020-08-27 20:59:42,-28.77,114.6,50.0,93,0,10.29
194,Bombay,IN,2020-08-27 21:01:38,19.01,72.85,78.8,94,75,4.7
195,Hasaki,JP,2020-08-27 21:02:50,35.73,140.83,78.01,100,20,4.7
196,Babu,CN,2020-08-27 21:02:50,24.42,111.52,71.74,74,0,1.43
197,Nanortalik,GL,2020-08-27 21:02:50,60.14,-45.24,49.1,71,100,13.62
198,Asfi,MA,2020-08-27 21:02:50,32.3,-9.24,74.44,71,0,17.52
199,Farah,AF,2020-08-27 21:02:50,32.5,62.5,57.6,39,0,2.64
200,Whitehorse,CA,2020-08-27 20:59:47,60.72,-135.05,54.0,62,90,8.05
201,Panzhihua,CN,2020-08-27 21:02:51,26.59,101.71,71.64,79,100,1.48
202,Botro,CI,2020-08-27 21:02:51,7.85,-5.31,75.2,100,40,2.24
203,Dauriya,RU,2020-08-27 20:59:22,49.93,116.87,55.74,86,100,18.1
204,Byron Bay,AU,2020-08-27 20:58:23,-28.65,153.62,55.99,93,0,5.68
205,Itarema,BR,2020-08-27 20:59:51,-2.92,-39.92,78.3,75,21,18.32
206,Cidreira,BR,2020-08-27 20:59:29,-30.18,-50.21,64.36,73,4,5.48
207,Atambua,ID,2020-08-27 21:02:51,-9.11,124.89,68.32,73,0,3.42
208,Zhezkazgan,KZ,2020-08-27 21:02:51,47.8,67.71,68.34,49,0,5.57
209,Qaqortoq,GL,2020-08-27 21:02:51,60.72,-46.03,45.52,78,100,4.85
210,Airai,TL,2020-08-27 21:02:51,-8.93,125.41,58.37,66,0,4.45
211,Nizhniy Ingash,RU,2020-08-27 21:02:51,56.2,96.53,50.38,88,83,2.46
212,Yumen,CN,2020-08-27 21:02:51,40.28,97.2,59.52,30,45,13.2
213,Pangnirtung,CA,2020-08-27 20:58:53,66.15,-65.71,48.2,76,20,11.41
214,Weatherford,US,2020-08-27 21:02:52,32.76,-97.8,91.99,58,33,3.0
215,Tigil,RU,2020-08-27 21:02:52,57.8,158.67,47.25,86,100,5.03
216,Saint-Augustin,CA,2020-08-27 20:59:11,51.23,-58.65,53.47,86,100,16.11
217,Los Llanos De Aridane,ES,2020-08-27 21:02:52,28.66,-17.92,78.8,74,3,17.22
218,Kloulklubed,PW,2020-08-27 20:59:47,7.04,134.26,78.8,88,90,3.36
