City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Sicamous,CA,50.83,-118.99,73.0,23,7,1.01,clear sky
120,Eunice,US,30.49,-92.42,82.4,78,1,6.93,clear sky
121,Lodja,CD,-3.48,23.43,71.08,93,99,2.39,overcast clouds
122,Leningradskiy,RU,69.38,178.42,36.84,88,100,10.13,overcast clouds
123,Hirado,JP,33.36,129.55,82.99,94,0,1.12,clear sky
124,Oyo,NG,7.85,3.93,71.08,96,70,4.32,broken clouds
125,Vetlanda,SE,57.43,15.08,55.0,100,53,3.36,mist
126,Dabat,ET,12.98,37.77,52.07,100,81,0.63,light rain
127,Plettenberg Bay,ZA,-34.05,23.37,45.88,75,18,10.71,light rain
128,Karoi,ZW,-16.81,29.69,67.87,37,0,4.56,clear sky
129,Port Hardy,CA,50.7,-127.42,62.6,67,75,12.75,broken clouds
130,Longyearbyen,SJ,78.22,15.64,41.0,65,75,14.99,broken clouds
131,Iquique,CL,-20.22,-70.14,60.8,67,90,13.87,overcast clouds
132,Lucea,JM,18.45,-78.17,88.0,74,20,16.11,few clouds
133,Tateyama,JP,34.98,139.87,86.0,90,0,1.01,clear sky
134,Chokurdakh,RU,70.63,147.92,39.83,89,100,4.29,overcast clouds
135,Gravelbourg,CA,49.88,-106.55,88.18,14,0,15.82,clear sky
136,Camacha,PT,33.08,-16.33,71.6,64,40,13.87,scattered clouds
137,Henties Bay,NA,-22.12,14.28,53.01,76,0,16.31,clear sky
138,Qaqortoq,GL,60.72,-46.03,60.8,31,77,21.92,broken clouds
139,Avarua,CK,-21.21,-159.78,77.0,73,4,17.22,clear sky
140,Batagay-Alyta,RU,67.8,130.41,48.83,63,100,1.63,overcast clouds
141,Dikson,RU,73.51,80.55,42.01,98,100,16.8,overcast clouds
142,Sitio Novo Do Tocantins,BR,-5.52,-47.46,87.19,35,69,5.68,broken clouds
143,Wenling,CN,28.37,121.36,82.0,91,64,3.74,broken clouds
144,Tuktoyaktuk,CA,69.45,-133.04,46.4,70,20,11.41,few clouds
145,San Cristobal,VE,7.77,-72.22,87.8,55,40,6.93,scattered clouds
146,Dobson,US,36.4,-80.72,86.0,62,40,4.7,scattered clouds
147,Niono,ML,14.25,-5.99,78.8,79,100,8.25,moderate rain
148,Isangel,VU,-19.55,169.27,72.57,81,92,20.96,overcast clouds
149,Barrow,US,71.29,-156.79,39.2,92,90,16.11,overcast clouds
150,Sosnovo-Ozerskoye,RU,52.52,111.54,48.96,96,100,6.46,overcast clouds
151,Kloulklubed,PW,7.04,134.26,78.8,88,75,10.29,broken clouds
152,Gravdal,NO,68.12,13.5,48.72,72,100,7.47,light rain
153,Lompoc,US,34.64,-120.46,69.8,60,1,14.99,clear sky
154,Torbay,CA,47.67,-52.73,64.0,59,40,13.87,heavy intensity rain
155,Sao Miguel Do Araguaia,BR,-13.28,-50.16,84.88,23,0,5.88,clear sky
156,Shubarshi,KZ,48.59,57.19,78.48,25,100,7.72,overcast clouds
157,Puerto Ayora,EC,-0.74,-90.35,75.2,64,40,21.92,scattered clouds
158,Lorengau,PG,-2.02,147.27,82.85,76,83,12.17,broken clouds
159,Coahuayana,MX,18.73,-103.68,78.8,83,75,11.41,broken clouds
160,Yulara,AU,-25.24,130.99,51.8,23,0,10.29,clear sky
